,Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
4613,Faraar,-1965.0,137 min,"Mystery, Thriller",6.1,8,Pinaki Bhushan Mukherji,Anil Chatterjee,Balraj Sahni,Shabnam
4614,Faraar,-1995.0,,Action,,,Sunil Agnihotri,Shilpa Shirodkar,Avinash Wadhawan,
4615,Faraar,-1955.0,,Action,,,Phani Majumdar,Dev Anand,Geeta Bali,
4616,Faraib,-1983.0,131 min,"Action, Thriller",4.5,14,Rajat Rakshit,Mithun Chakraborty,Ranjeeta Kaur,Shreeram Lagoo
4617,Farar Qaidi,-1989.0,,Action,,,Kodanda Rami Reddy A.,Chiranjeevi,Jaya Prada,Sumalatha
4618,Farari,-1988.0,,Drama,,,Ashok Bhimjeemani,Bindu,Mala Jaggi,Praveen Paul
4619,Fareb,-1953.0,,Drama,,,Ismat Chughtai,Shaheed Latif,Amar,Maya Dass
4620,Fareb,-1968.0,131 min,"Action, Crime, Mystery",,,Jugal Kishore,Nisar Ahmad Ansari,Bela Bose,Faryal
4621,Fareb,-1996.0,147 min,"Action, Crime, Drama",4.7,128,Vikram Bhatt,Faraaz Khan,Suman Ranganath,Ashok Lath
4622,Fareb,-2005.0,129 min,"Drama, Thriller",4.1,174,Deepak Tijori,Shilpa Shetty Kundra,Manoj Bajpayee,Shamita Shetty
4623,Fareb,-1983.0,,,,,Tej Sapru,,,
4624,Farebi Duniya,-1935.0,,,,,Jagatrai Pesumal Advani,Sardar Akhtar,Zebunissa,
4625,Farebi Jaal,-1931.0,,,,,Mohan Dayaram Bhavnani,Jal Khambatta,Durga Khote,Sushila
4626,Farishta,-1958.0,,"Crime, Drama, Family",7.4,5,Ravindra Dave,Sohrab Modi,Ashok Kumar,Meena Kumari
4627,Farishta,-1968.0,,Fantasy,6.6,7,Kedar Kapoor,Dev Kumar,Nivedita,Master Shahid
4628,Farishta,-1984.0,130 min,Drama,,,Sunil Sikand,Ashok Kumar,Kanwaljit Singh,Smita Patil
4629,Farishta Aur Bhagwan,-1988.0,,Drama,,,Bhanupriya,Nassar,,
4630,Farishta Ya Qatil,-1977.0,126 min,"Action, Drama",5.1,14,S.M. Abbas,Shashi Kapoor,Rekha,Jayshree T.
4631,Farishtay,-1991.0,,"Action, Comedy, Drama",4.8,243,Anil Sharma,Dharmendra,Vinod Khanna,Sridevi
4632,Farishthy,-1997.0,,Action,,,Karthik,Nagma,,
4633,Fariyaad,-1942.0,,,,,Jayant Desai,Mubarak,,
4634,Fariyad,-1964.0,,Family,,,Kidar Nath Sharma,Ashok,Ashok Sharma,Zeb Rehman
4635,Farmaish,-1953.0,,Drama,,,Bharat Bhushan,Chandrashekhar,Kuldip Kaur,Pran
4636,Farmers in High Tech World,-2005.0,49 min,Documentary,,,Vishaal Nityanand,,,
4637,Farz,-1967.0,170 min,"Action, Crime, Thriller",6.2,100,Ravikant Nagaich,Jeetendra,Babita Kapoor,Aruna Irani
4638,Farz,-2001.0,,"Action, Thriller",4.3,417,Raj Kanwar,Sunny Deol,Preity Zinta,Jackie Shroff
4639,Farz,-1947.0,,,,,Agha,Ragni,,
4640,Farz Aur Kanoon,-1982.0,,"Action, Drama",5.5,20,K. Raghavendra Rao,Jeetendra,Hema Malini,Rati Agnihotri
4641,Farz Aur Khoon,-1978.0,,Action,,,Bharati Devi,Shivaji Ganesan,,
4642,Farz Aur Pyar,-1981.0,,Action,,,Sudharshan Sharma,Satish Arora,Rita Anchan,Umendra
4643,Farz Ki Jung,-1989.0,139 min,Drama,4.3,37,R.P. Swamy,Shashi Kapoor,Govinda,Neelam Kothari
4644,Farz Ki Keemat,-1983.0,,Action,,,Sudhir Wahi,Bhavana Bhatt,Bindu,Kalpana Iyer
4645,Farz Ki Pukaar,-1999.0,,Action,,,Rajan P. Dev,Suresh Gopi,Vijayaraghavan,
4646,Farzande Hind,-1934.0,,,,,Ezra Mir,Noor Mohammad Charlie,,
4647,Farze Ada,-1936.0,,,,,Shahzadi,,,
4648,Fashion,-1943.0,,,,,S.F. Hasnain,Bhudo Advani,Sardar Akhtar,Sabita Devi
4649,Fashion,-1957.0,148 min,"Drama, Family",8.0,9,Lekhraj Bhakri,Pradeep Kumar,Manoj Kumar,Mala Sinha
4650,Fashion,-2008.0,167 min,"Drama, Romance",6.9,"11,918",Madhur Bhandarkar,Priyanka Chopra Jonas,Kangana Ranaut,Mugdha Godse
4651,Fashion Show,-2000.0,,Thriller,,,,,,
4652,Fashionable India,-1935.0,169 min,,,,Mohan Sinha,Pushpa,R.D. Shukla,Jeevan
4653,Fashionable Wife,-1938.0,,Drama,,,Dhirubhai Desai,Anil Kumar,Suvarna,S. Nazir
4654,Fashionable Wife,-1959.0,,"Drama, Family",5.4,5,B.K. Adarsh,Jaymala Adarsh,Abhi Bhattacharya,Anoop Kumar
4655,Faslah,-1974.0,,"Crime, Drama, Romance",,,Khwaja Ahmad Abbas,Raman Khanna,Shabana Azmi,Nadira
4656,Fast Forward,-2009.0,57 min,"Action, Drama, Musical",5.6,46,Zaigham Ali Syed,Vinod Khanna,Akshay Kapoor,Rehan Khan
4657,Fastey Fasaatey,-2019.0,119 min,"Drama, Romance",4.6,119,Amit Agarwal,Bijay Anand,Ashok Awasthi,V.M. Badola
4658,Fate,-1933.0,68 min,"Drama, Romance",6.2,12,John Hunt,Devika Rani,Himanshu Rai,Abraham Sofaer
4659,Fate,-1943.0,113 min,Drama,6.6,14,Mehboob Khan,Motilal,Nargis,Chandra Mohan
4660,Fateacher,,,"Crime, Drama",,,Anil Naryani,Gaurav Sharma,Vinod Chandel,Sanjay Malviya
4661,Fateh,-1991.0,,Action,5.2,55,Talat Jani,Shabana Azmi,Sanjay Dutt,Ekta Sohini
4662,Fateh singh,,,Action,,,Rajkumar Santoshi,Sammy Jonas Heaney,Sunny Deol,Rahul Dev
4663,Father: Tale of Love,-2016.0,,Drama,,,Narendra Jha,Komal Thacker,Paresh Mehta,Raj Sharma
4664,Fatima,-2021.0,,Documentary,,,Sourabh Kanti Datta,,,
4665,Fatso!,-2012.0,98 min,"Comedy, Fantasy, Romance",5.7,432,Rajat Kapoor,Gul Panag,Purab Kohli,Ranvir Shorey
4666,Fattack,-2014.0,,"Comedy, Drama",,,Yazad Anklesaria,Namit Das,Diganth,Sidhaant Kapoor
4667,Fauj,-1994.0,,Action,,,Ashok Gaekwad,Tinnu Anand,Sudesh Berry,Sanjeev Dabholkar
4668,Fauj Mein Mauj,-2010.0,,Comedy,4.2,16,Murali Nagavally,Asrani,Lillete Dubey,Paresh Rawal
4669,Fauja,-2021.0,,Biography,,,Omung Kumar,,,
4670,Fauji,-1995.0,,"Action, Crime, Drama",4.5,13,Lawrence D'Souza,Master Altaf,Raj Babbar,Suresh Chatwal
4671,Fauji,-1976.0,,Action,,,Joginder Shelly,Vikram Makandar,Romesh Sharma,Nazneen
4672,Fauji Calling,-2021.0,134 min,Drama,5.4,77,Aaryaan Saxena,Bidita Bag,Anil Chouhan,Mugdha Godse
4673,Faulad,-1963.0,145 min,"Action, Adventure, Drama",6.2,19,Mohammed Hussain,Dara Singh,Mumtaz,Minoo Mumtaz
4674,Fauladi Mukka,-1936.0,,,,,Husn Banu,,,
4675,Fauladi Mukka,-1965.0,,Action,,,S. Azim,Birju,Indira,Azaad Irani
4676,Fauladi No.1,-2001.0,,Drama,,,Sandeep Kumar,,,
4677,Fauladi Takkar,-1985.0,,Action,,,B.J. Patel,Vishal Deep,Jayendra,Varsha Sharma
4678,Fauladi Taqdeer,-1992.0,,Action,,,,,,
4679,Fazeeta,-2019.0,108 min,"Comedy, Drama, Family",,,Monu Dhankad,Kavita Joshi,Uttar Kumar,
4680,Fear,-2007.0,,Horror,3.7,125,Vikram Bhatt,Alisha,Alisha Baig,Jennifer Butler
4681,Fearless: The Hunterwali Story,-1994.0,62 min,Documentary,7.6,7,Riyad Vinci Wadia,Fearless Nadia,,
4682,Feast of Varanasi,-2016.0,97 min,"Crime, Drama, Thriller",5.5,27,Rajan Kumar Patel,Adil Hussain,Holly Gilbert,Tannishtha Chatterjee
4683,Feraa,-2021.0,,Drama,,,Rahul Manohar Chaudhari,,,
4684,Ferrari Ki Sawaari,-2012.0,140 min,"Comedy, Drama, Family",6.4,"5,138",Rajesh Mapuskar,Sharman Joshi,Boman Irani,Ritvik Sahore
4685,Ferrous,,140 min,Crime,,,Shaurya Singh,Vijay Raaz,Bikramjeet Kanwarpal,Zakir Hussain
4686,'Ferry',-1954.0,128 min,"Drama, Family",5.8,28,Hemen Gupta,Dev Anand,Archana,Babu
4687,Fever,-2016.0,123 min,"Crime, Mystery",4.7,645,Rajeev Jhaveri,Rajeev Khandelwal,Gauahar Khan,Gemma Atkinson
4688,Fida,-2004.0,122 min,"Action, Crime, Drama",5.5,"2,470",Ken Ghosh,Kareena Kapoor,Fardeen Khan,Shahid Kapoor
4689,Fiffty Fiffty,-1981.0,136 min,"Action, Comedy, Musical",6.1,41,Shomu Mukherjee,Rajesh Khanna,Tina Ambani,Om Shivpuri
4690,Fifty Fifty,-1956.0,,"Drama, Family",,,Roshan Lal Malhotra,M. Rajan,Nalini Jaywant,Gope
4691,Fight Club: Members Only,-2006.0,140 min,"Action, Crime",3.3,"1,403",Abhay Chopra,Vikram Chopra,Sunil Shetty,Sohail Khan
4692,Fighter,-2022.0,,"Action, Thriller",,,Siddharth Anand,Deepika Padukone,Hrithik Roshan,Birol Tarkan Yildiz
4693,Fighter,-2022.0,,"Action, Drama, Thriller",,,Gayatri,Pushkar,Hrithik Roshan,
4694,Fighter Sheela,-1972.0,,Action,,,Krishna Ghattamaneni,,,
4695,Fighting Queen,-1956.0,,Action,,,Nari Ghadiali,John Cawas,Fearless Nadia,Habib
4696,File Number 666,,,"Action, Fantasy, Horror",,,C. Franklin,,,
4697,Filhaal...,-2002.0,151 min,"Drama, Romance",5.5,243,Meghna Gulzar,Tabu,Sushmita Sen,Sanjay Suri
4698,Film Hi Film,-1983.0,133 min,"Comedy, Drama, Music",5.8,23,Hiren Nag,Pran,Ramesh Deo,Seema Deo
4699,Film Star,-2005.0,145 min,Drama,5.1,62,Tanuja Chandra,Mahima Chaudhry,Priyanshu Chatterjee,Vasundhara Das
4700,Filmi Duniya Filmi Log,-1976.0,,Drama,,,,,,
4701,Filmi Raasleela,-2020.0,126 min,Romance,,,Shiraz Henry,Gunjann Aras,Aslam Aziz,Rahim Bhai
4702,Filmistaan,-2012.0,117 min,Comedy,7.3,"3,371",Nitin Kakkar,Sharib Hashmi,Inaamulhaq,Kumud Mishra
4703,Filter Coffee Liquor Cha,-2019.0,80 min,Drama,6.9,9,Debarati Gupta,Nishan Nanaiah,Priyanka Sarkar,Usha Uthup
4704,Final Decision,,,Drama,,,Suryakant Tyagi,,,
4705,Final Solution,-2004.0,218 min,Documentary,8.5,369,Rakesh Sharma,,,
4706,Finding Fanny,-2014.0,102 min,"Adventure, Comedy, Drama",5.7,"6,225",Homi Adajania,Deepika Padukone,Arjun Kapoor,Naseeruddin Shah
4707,Firaaq,-2008.0,101 min,"Drama, History, Thriller",7.4,"2,081",Nandita Das,Inaamulhaq,Nassar,Shahana Goswami
4708,Firangi,-2017.0,158 min,"Comedy, Drama",4.4,"1,081",Rajiv Dhingra,Kapil Sharma,Ishita Dutta,Monica Gill
4709,Firautibaaz,-2018.0,,Thriller,,,Abhinav Nirala,Kumud Mishra,Kajal Chauhan,Gulshan Pandey
4710,Firdaus,-1953.0,,Drama,,,H. Ahluwalia,Vasant Joglekar,Geeta Bali,Lalita Pawar
4711,Fire,-1996.0,104 min,"Drama, Romance",7.2,"5,773",Deepa Mehta,Shabana Azmi,Nandita Das,Karishma Jhalani
4712,Fire in the Blood,-2013.0,87 min,"Documentary, History",7.7,685,Dylan Mohan Gray,Zackie Achmat,Peter Mugyenyi,Bill Clinton
4713,Fire in the Mountains,-2021.0,84 min,Drama,6.8,26,Ajitpal Singh,Vinamrata Rai,Chandan Bisht,Harshita Tiwari
4714,Fired,-2010.0,87 min,Horror,4.4,261,Sajit Warrier,Rahul Bose,Dinesh Lamba,Nassar Abdulla
4715,Fireflies,-2013.0,100 min,"Drama, Family",6.2,95,Sabal Singh Shekhawat,Rahul Khanna,Arjun Mathur,Shivaani Ghai
4716,Fireflies in the Abyss,-2015.0,88 min,"Documentary, Drama",7.0,71,Chandrasekhar Reddy,Nishant Rai,Raj Rai,Suraj Subba
4717,Firoz Masani,,,Thriller,,,Kulbhushan Kharbanda,Bharat Thakkar,Rutvij Patel,
4718,Firrkie,,,Thriller,,,Ankush Bhatt,Jackie Shroff,Neil Nitin Mukesh,Kay Kay Menon
4719,First Cry,-2014.0,52 min,"Documentary, Family",,,Ajay T.G.,,,
4720,First Love Letter,-1991.0,165 min,Romance,4.8,47,Shiva,Vivek Mushran,Manisha Koirala,Dalip Tahil
4721,First Rank,-1990.0,150 min,"Action, Drama, Sport",5.3,"1,110",Dev Anand,Dev Anand,Aamir Khan,Ekta Sohini
4722,First Time - Pehli Baar,-2009.0,,,,,Raja Bundela,Zeenat Aman,Nitin Arora,Raj Babbar
4723,First Time - Pehli Baar,-2009.0,,,,,Raja Bundela,Zeenat Aman,Nitin Arora,Raj Babbar
4724,Fitarat,-1986.0,,Drama,,,Azeem Malik,Sudhir Dalvi,Leena Das,Raj Kiran
4725,Fitoor,-2016.0,131 min,"Drama, Romance",5.4,"4,526",Abhishek Kapoor,Aditya Roy Kapoor,Katrina Kaif,Tabu
4726,Fiza,-2000.0,170 min,"Action, Crime, Drama",6.1,"3,894",Khalid Mohamed,Jaya Bachchan,Karisma Kapoor,Hrithik Roshan
4727,Fiza Mein Tapish,-2021.0,125 min,Drama,,,Rahat Khan,Salman Shaikh,Richa Kalra,Mithilesh Chaturvedi
4728,Flame: An Untold Love Story,-2014.0,97 min,Drama,6.0,11,Rajiv S. Ruia,Sumana Mukherjee,Hrishitaa Bhatt,Kamna Singh Chandel
4729,Flames of the Snow,-2011.0,125 min,Documentary,,,Ashish Srivastav,,,
4730,Flat 211,-2017.0,105 min,"Crime, Mystery, Thriller",5.1,83,Sunil Sanjan,Jayesh Raj,Sonal Singh,Samonica Shrivastava
4731,Flat No. 420,-2019.0,,Horror,,,Manoj Sharma,Mithun Chakraborty,Brijendra Kala,Manoj Pahwa
4732,Flat No. 9,-1961.0,,Action,,,Romesh Sharma,Helen,Sayeeda Khan,Ashok Kumar
4733,Flatmates,-2019.0,,Drama,,,Ajit Devle,Anmol Agrawal,Taniya Chaterjee,Tania Chatterjee
4734,Flight,-2021.0,116 min,"Action, Thriller",8.3,359,Suraj Joshi,Vishal Arya,Babita Ashiwal,Shibani Bedi
4735,Flight from a Paradise,-2012.0,,Drama,,,Satish Rai,Satish Rai,Shobhana Sharma,Rajesh Thakur
4736,Flight to Assam,-1961.0,,Drama,,,Kamal Sharma,Rajan Haksar,Rajan Kapoor,Madan Puri
4737,Flying Circus,-1965.0,,Action,,,Bela Bose,Kamini Devi,Ranjan Kapoor,Nasreen
4738,Flying Colors,-2016.0,84 min,Drama,6.0,13,Raja Krishna,Bhavna Mali,Eknath Kamble,Pawan
4739,Flying Horse,-1963.0,,Action,,,Samar Roy,Krishna Kumari,Heera Sawant,Amirbai Karnataki
4740,Flying Lessons,-2007.0,106 min,Drama,6.3,365,Francesca Archibugi,Giovanna Mezzogiorno,Andrea Miglio Risi,Angel Tom Karumathy
4741,Flying Man,-1955.0,,Action,,,Master Bhagwan,Rajan Haksar,Helen,Iftekhar
4742,Flying Man,-1947.0,,Action,,,Nanubhai Vakil,Amirbai Karnataki,Yunus,Rafique
4743,Flying on One Engine,-2008.0,51 min,"Documentary, Drama",7.9,25,Joshua Z Weinstein,Sharadkumar Dicksheet,,
4744,Flying Prince,-1946.0,,"Action, Sci-Fi",,,Homi Wadia,Fearless Nadia,John Cawas,Sona Chatterjee
4745,Flying Ranee,-1939.0,,,,,Aspi Irani,Husn Banu,,
4746,Flying Ranee,-1959.0,,Fantasy,,,Nanubhai Vakil,Nishi,Samar Roy,
4747,Fool N Final,-2007.0,144 min,"Action, Comedy, Crime",3.4,"1,906",Ahmed Khan,Sunny Deol,Shahid Kapoor,Vivek Oberoi
4748,Foot Path,-1953.0,148 min,"Comedy, Crime, Drama",7.5,57,Zia Sarhadi,Dilip Kumar,Meena Kumari,Ramesh Thapar
4749,Football,-2021.0,,Drama,,,Rani Bhan,Azmat Khwaja,Namita Lal,Swaylee Loughnane
4750,Footfairy,-2020.0,115 min,"Crime, Thriller",5.0,287,Kanishk Varma,Gulshan Devaiah,Sagarika Ghatge,Kunaal Roy Kapur
4751,Footloose: A Story of Belonging,-2020.0,93 min,Documentary,,,Gulshan Singh,,,
4752,Footpath,-2003.0,164 min,"Action, Crime, Drama",5.3,824,Vikram Bhatt,Aftab Shivdasani,Bipasha Basu,Rahul Dev
4753,Footpath Ni Rani,-1984.0,,Drama,,,Sardar Talukdar,Aruna Irani,Arvind Joshi,Indra Kumar
4754,Footprints in the desert,-2013.0,80 min,"Documentary, News",,,Balaka Ghosh,,,
4755,For Bindiya Call Jugnu,-2017.0,85 min,Drama,,,Arjun Bagga,Amit Sial,Annukampa Harsh,Razak Khan
4756,Force,-2011.0,137 min,"Action, Crime, Drama",6.5,"7,301",Nishikant Kamat,John Abraham,Genelia D'Souza,Vidyut Jammwal
4757,Force 2,-2016.0,127 min,"Action, Adventure, Thriller",6.2,"5,048",Abhinay Deo,John Abraham,Sonakshi Sinha,Tahir Raj Bhasin
4758,Foresting Life,-2013.0,69 min,"Documentary, Biography, Family",9.0,6,Aarti Shrivastava,,,
4759,Forgotten Showers,-2005.0,87 min,Drama,,,Vinod Kumar,Sadhu Meher,Nethra Raghuraman,Rajpal Yadav
4760,Formula 69,-2006.0,100 min,Adventure,,,Nitin Das,Himshwet Gaurav,Hemant Kathuria,Tarun Singhal
4761,Forty Days,-1959.0,,Action,6.1,9,Dwarka Khosla,Prem Nath,Shakila,K.N. Singh
4762,Forty Plus,-2019.0,76 min,Drama,,,Yash Babu,Sajinda Khan,Hansi Parmar,Sukhi Randhawa
4763,Foser Villy,-2017.0,117 min,"Comedy, Drama",,,Vikram Singh Parihar,,,
4764,Foto,-2007.0,86 min,Comedy,6.4,23,Virendra Saini,Tom Alter,Sameer Gupta,Arjun Gokul Jaykrishna
4765,Four Faces of India,-1959.0,160 min,Drama,7.5,57,Khwaja Ahmad Abbas,Raj Kapoor,Ajit,Shammi Kapoor
4766,Four Pillars of Basement,-2015.0,134 min,"Action, Mystery, Thriller",4.6,19,Giresh Naik,Shawar Ali,Ravi Gadariya,Zakir Husain
4767,Four Two Ka One,-2012.0,112 min,Comedy,4.7,52,Anwer Khan,Ishwar Singh,Jimmy Sheirgill,Rajpal Yadav
4768,Fox,-2009.0,145 min,"Crime, Drama, Mystery",5.2,553,Deepak Tijori,Arjun Rampal,Sunny Deol,Udita Goswami
4769,Fraud Saiyaan,-2019.0,109 min,"Comedy, Drama",4.3,677,Sourabh Shrivastava,Arshad Warsi,Saurabh Shukla,Flora Saini
4770,Freaky Ali,-2016.0,120 min,"Comedy, Sport",4.9,"2,642",Sohail Khan,Nawazuddin Siddiqui,Arbaaz Khan,Amy Jackson
4771,Fredrick,-2016.0,129 min,"Action, Thriller",4.9,19,Rajesh Butalia,Avinash Dhyani,Prashant Narayanan,Tulna Butalia
4772,Free Bird,-2014.0,146 min,Family,,,Nagaraja Kote,H.G. Dattatreya,Dhruti N,Rajesh Nataranga
4773,Free Entry,-2006.0,,"Drama, Romance",5.0,53,Kanti Shah,Anil Nagrath,Amit Pachori,Sapna Sappu
4774,Free: The Untold Story of Gurudev Sri Sri Ravi Shankar,,,"Biography, Drama",,,Montoo Bassi,,,
4775,Freedom,-2014.0,,Thriller,2.9,14,Vivek Agnihotri,Deepak,Payal Ghosh,Ravi Shankar Jaiswal
4776,Friends In Law,-2018.0,85 min,Comedy,6.8,48,Amit Khanna,Shreedevi Chowdary,Ashlin Harris,Amiran Winter
4777,Friends Together,-1978.0,,Documentary,,,Prakash Jha,,,
4778,Friendship,-1980.0,152 min,"Action, Crime, Drama",6.6,927,Raj Khosla,Amitabh Bachchan,Shatrughan Sinha,Zeenat Aman
4779,Friendship,-2008.0,145 min,"Comedy, Drama, Romance",6.5,"14,142",Tarun Mansukhani,Abhishek Bachchan,John Abraham,Priyanka Chopra Jonas
4780,From Sydney with Love,-2012.0,,"Comedy, Romance",6.2,69,Prateek Chakravorty,Bidita Bag,Sabyasachi Chakrabarty,Ronjini Chakraborty
4781,Frozen,-2007.0,109 min,Drama,7.1,191,Shivajee Chandrabhushan,Danny Denzongpa,Gauri,Aungchuk
4782,Fruit & Nut,-2009.0,90 min,"Comedy, Crime, Drama",2.8,71,Kunal Vijaykar,Cyrus Broacha,Boman Irani,Mahesh Manjrekar
4783,FryDay,-2018.0,114 min,"Comedy, Drama",5.2,783,Abhishek Dogra,Govinda,Digangana Suryavanshi,Varun Sharma
4784,Fuddu,-2016.0,100 min,"Comedy, Drama",5.4,155,Sunil Subramani,Shubham,Swati Kapoor,Uday Tikekar
4785,Fugly,-2014.0,134 min,"Drama, Thriller",4.7,"1,008",Kabir Sadanand,Jimmy Sheirgill,Mohit Marwah,Kiara Advani
4786,Fuji-Lama,-1952.0,,,,,Habib,Rajan Haksar,Shanta Kanwar,Manorama
4787,Fukrey,-2013.0,139 min,"Comedy, Drama, Romance",6.9,"10,762",Mrighdeep Lamba,Pulkit Samrat,Manjot Singh,Ali Fazal
4788,Fukrey Boyzzz: Space Mein Fukrapanti,-2020.0,74 min,"Animation, Comedy, Family",8.3,6,Avinash Walzade,Manish Bhavan,Amit Deondi,Ketan Kava
4789,Fukrey Returns,-2017.0,141 min,Comedy,6.5,"4,890",Mrighdeep Lamba,Pulkit Samrat,Varun Sharma,Ali Fazal
4790,Fulena Nights,,,Drama,,,Amit Jha,Pitobash,Sharat Sonu,Vijay Raj
4791,Full Moon,-1960.0,169 min,"Drama, Musical, Romance",7.2,476,M. Sadiq,Waheeda Rehman,Guru Dutt,Rehman
4792,Fun In Goa,-2021.0,,,,,Ashish Kumar Dubey,Gajendra,,
4793,Fun: Can Be Dangerous Sometimes,-2005.0,138 min,Thriller,3.1,72,Sanjay Zaveri,Siddharth Koirala,Aryan Vaid,Payal Rohatgi
4794,Funtoosh,-1956.0,,"Comedy, Drama",7.3,74,Chetan Anand,Dev Anand,Sheila Ramani,K.N. Singh
4795,Furrr Chidiya Udd,-2020.0,,Comedy,,,Manoj Sharma,Rajpal Yadav,Shakti Kapoor,Vrajesh Hirjee
4796,Future to Bright Hai Ji,-2012.0,180 min,Drama,6.2,97,Sanjay Amar,Aamir Bashir,Sonal Sehgal,Asrani
4797,Fyaar,-2019.0,70 min,Drama,,,Harjit Rick,Mukesh Chandella,Vicky Hans,Surinder Singh Babb Kamboj
4798,G Kutta Se,-2017.0,104 min,Drama,8.3,47,Rahul Dahiya,Rajveer Ankur Singh,Neha Chauhan,Vibha Tyagi
4799,G: A Dark Tale of Desires,-2017.0,120 min,"Crime, Drama, Mystery",,,Rahul Dahiya,Ankur Singh,,
4800,Gaafil Musafir,-1934.0,,,,,Jagatrai Pesumal Advani,Sardar Akhtar,,
4801,Gaai Aur Gori,-1973.0,148 min,"Drama, Family",6.0,17,M.A. Thirumugham,Shatrughan Sinha,Jaya Bachchan,Bindu
4802,Gaal Gulabi Nain Sharabi,-1974.0,,Romance,,,Devi Sharma,Kiran Kumar,Radha Saluja,Paintal
4803,Gaali,-1944.0,122 min,"Drama, Mystery",,,R.S. Choudhury,Nirmala Devi,Karan Dewan,Manju
4804,Gaalib,-2021.0,,Drama,,,Manoj Giri,Nikkhil Pitaley,Deepika Chikhalia,Anil Rastogi
4805,Gaban,-1966.0,169 min,"Crime, Drama, Romance",5.8,50,Krishan Chopra,Hrishikesh Mukherjee,Sunil Dutt,Sadhana
4806,Gabbar is Back,-2015.0,128 min,"Action, Comedy, Crime",7.1,"23,209",Radha Krishna Jagarlamudi,Akshay Kumar,Shruti Haasan,Kareena Kapoor
4807,Gabbar Singh,-1976.0,,Action,,,S.A. Ashokan,Jaishankar,Shiva Kumar,
4808,Gabbar Singh,-2007.0,111 min,Action,4.8,9,Kanti Shah,Amit Pachori,Shiva Rindani,Sapna Sappu
4809,Gadar: Ek Prem Katha,-2001.0,170 min,"Action, Drama, Romance",7.2,"10,264",Anil Sharma,Sunny Deol,Ameesha Patel,Amrish Puri
4810,Gaddaar,-1973.0,,Crime,7.6,60,Harmesh Malhotra,Vinod Khanna,Yogeeta Bali,Pran
4811,Gaddaar,-1995.0,152 min,"Action, Drama, Romance",4.6,96,Raam Shetty,Sunil Shetty,Harish,Sonali Bendre
4812,Gadera,-2021.0,125 min,"Drama, History, Thriller",,,Yogesh Vats,Edward Christle,Andrew Johnson,Catarina Morais
4813,Gadh: When the Limit is Reached,-2009.0,,Action,,,Param Sivan,Satish Rai,,
4814,Gafla,-2006.0,127 min,Drama,7.2,454,Sameer Hanchate,Somesh Agarwal,Anshul Chobey,Nishikant Dixit
4815,Gahan,,112 min,Thriller,,,Surendran Kaliyaperumal,Ananth,Attu,Aniket Dhamale
4816,Gair,-1999.0,148 min,"Action, Drama",3.7,195,Ashok Gaekwad,Ajay Devgn,Raveena Tandon,Reena Roy
4817,Gair Kaanooni,-1989.0,152 min,"Action, Comedy, Drama",5.3,90,Prayag Raj,Sridevi,Govinda,Kimi Katkar
4818,Gair Mard,-2002.0,,Thriller,,,,,,
4819,Gaj Gauri,-1958.0,,Drama,,,Anand Kumar,Sulochana Latkar,Shahu Modak,Nana Palsikar
4820,Gaja Gamini,-2000.0,122 min,"Drama, Fantasy",5.0,726,M.F. Hussain,Madhuri Dixit,Shabana Azmi,Naseeruddin Shah
4821,Gajendra,-2004.0,145 min,Action,3.5,77,Suresh Krishna,Sarath Babu,Rajat Bedi,Flora
4822,Gajre,-1948.0,,"Drama, Romance",,,R.D. Mathur,Motilal,Suraiya,Geeta Nizami
4823,Galat Sambandh,-1991.0,,Thriller,,,P.R.S. Babu,Bhavana,Mahesh,Usha
4824,Gali Gali Chor Hai,-2012.0,109 min,"Comedy, Drama, Family",5.1,596,Rumi Jaffery,Akshaye Khanna,Mugdha Godse,Satish Kaushik
4825,Galiyon Ka Badshah,-1989.0,,"Drama, Action, Crime",4.9,29,Sher Jung Singh,K. Yogi,Raaj Kumar,Hema Malini
4826,Galiyon Ka Badshah,-2001.0,,"Action, Thriller",5.6,9,Kanti Shah,Ishrat Ali,Hemant Birje,Amisha Desai
4827,Galiyon Ka Gunda,-1985.0,,Action,,,Muktha V. Srinivasan,Y.G. Mahendran,Aachi Manorama,Radha
4828,Galiyon Ki Rani,-1990.0,,Thriller,,,,,,
4829,"Gallit Gondhal, Dillit Mujra",-2009.0,120 min,Comedy,7.3,106,Nagesh Bhonsle,Makarand Anaspure,Suzanne Bernert,Nagesh Bhonsle
4830,Galti,-2021.0,,Thriller,5.6,5,Bande Prasad,Shrivastava Anushka,Kant Arun,
4831,Galti Se Mistakke Ho Gayi,-2011.0,102 min,"Comedy, Family",,,Sunil Prem Vyas,Kashish Dutt,Manish Garg,Ankur Khanna
4832,Gaman,-1978.0,119 min,Drama,7.1,181,Muzaffar Ali,Farooq Shaikh,Smita Patil,Gita Siddharth
4833,Gamanam,-2021.0,,Drama,,,Sujana Rao,Shriya Saran,Nithya Menen,Priyanka Jawalkar
4834,Gambeeram,-2004.0,165 min,"Action, Comedy, Crime",4.5,62,Suresh,Tanikella Bharani,Brahmanandam,Jasper
4835,Gambler,-1960.0,,Action,,,Dwarka Khosla,Prem Nath,Shakila,Pran
4836,Gambler,-1971.0,154 min,"Crime, Romance, Thriller",6.5,149,Amarjeet,Dev Anand,Zaheeda,Kishore Sahu
